ClassName,AttackerName,ActiveTime
CommandPattern.Idle,2pPlayer,1.399999
CommandPattern.ForwardWalk,1pPlayer,1.419999
CommandPattern.Idle,2pPlayer,1.419999
CommandPattern.ForwardWalk,1pPlayer,1.439999
CommandPattern.Idle,2pPlayer,1.439999
CommandPattern.ForwardWalk,1pPlayer,1.459999
CommandPattern.Idle,2pPlayer,1.459999
CommandPattern.ForwardWalk,1pPlayer,1.479999
CommandPattern.Idle,2pPlayer,1.479999
CommandPattern.ForwardWalk,1pPlayer,1.499999
CommandPattern.Idle,2pPlayer,1.499999
CommandPattern.ForwardWalk,1pPlayer,1.519999
CommandPattern.Idle,2pPlayer,1.519999
CommandPattern.ForwardWalk,1pPlayer,1.539999
CommandPattern.Idle,2pPlayer,1.539999
CommandPattern.ForwardWalk,1pPlayer,1.559999
CommandPattern.Idle,2pPlayer,1.559999
CommandPattern.ForwardWalk,1pPlayer,1.579999
CommandPattern.Idle,2pPlayer,1.579999
CommandPattern.ForwardWalk,1pPlayer,1.599999
CommandPattern.Idle,2pPlayer,1.599999
CommandPattern.ForwardWalk,1pPlayer,1.619999
CommandPattern.Idle,2pPlayer,1.619999
CommandPattern.ForwardWalk,1pPlayer,1.639999
CommandPattern.Idle,2pPlayer,1.639999
CommandPattern.ForwardWalk,1pPlayer,1.659999
CommandPattern.Idle,2pPlayer,1.659999
CommandPattern.ForwardWalk,1pPlayer,1.679999
CommandPattern.Idle,2pPlayer,1.679999
CommandPattern.ForwardWalk,1pPlayer,1.699999
CommandPattern.Idle,2pPlayer,1.699999
CommandPattern.ForwardWalk,1pPlayer,1.719999
CommandPattern.Idle,2pPlayer,1.719999
CommandPattern.ForwardWalk,1pPlayer,1.739999
CommandPattern.Idle,2pPlayer,1.739999
CommandPattern.ForwardWalk,1pPlayer,1.759999
CommandPattern.Idle,2pPlayer,1.759999
CommandPattern.ForwardWalk,1pPlayer,1.779999
CommandPattern.Idle,2pPlayer,1.779999
CommandPattern.ForwardWalk,1pPlayer,1.799999
CommandPattern.Idle,2pPlayer,1.799999
CommandPattern.ForwardWalk,1pPlayer,1.819999
CommandPattern.Idle,2pPlayer,1.819999
CommandPattern.ForwardWalk,1pPlayer,1.839999
CommandPattern.Idle,2pPlayer,1.839999
CommandPattern.ForwardWalk,1pPlayer,1.859999
CommandPattern.Idle,2pPlayer,1.859999
CommandPattern.ForwardWalk,1pPlayer,1.879999
CommandPattern.Idle,2pPlayer,1.879999
CommandPattern.ForwardWalk,1pPlayer,1.899999
CommandPattern.Idle,2pPlayer,1.899999
CommandPattern.ForwardWalk,1pPlayer,1.919999
CommandPattern.Idle,2pPlayer,1.919999
CommandPattern.ForwardWalk,1pPlayer,1.939999
CommandPattern.Idle,2pPlayer,1.939999
CommandPattern.ForwardWalk,1pPlayer,1.959999
CommandPattern.Idle,2pPlayer,1.959999
CommandPattern.ForwardWalk,1pPlayer,1.979999
